name	trait
name1_a	-0.5040995271234032
name1_b	-0.659512591208232
name1_c	1.7822906000650591
name1_d	0.44497367420621226
name1_e	0.5259783168419222
name1_f	0.23717743875442177
name1_g	-0.830262700603223
name1_h	0.11940884520288488
name1_i	-0.5411416054003934
name1_j	-0.11434903199400728
name1_k	1.3704663537754636
name1_l	0.22836408476017037
name1_m	1.063779411800554
name1_n	0.7650758736663017
name1_o	0.21142739055084123
name1_p	0.3174076661422693
name1_q	-0.8399392310111633
name1_r	1.14517234204337
name1_s	-0.43794248630032256
name1_t	0.23485010474017676
name1_u	-0.4443396561584901
name1_v	0.3394270483400718
name1_w	-0.6607647153337036
name1_x	-0.10146274984905364
name1_y	0.5248724696784283
name1_z	-1.6387085789850362
