name	trait
name3_a	0.3083679887269923
name3_b	0.3494749220380843
name3_c	0.952424655981621
name3_d	0.02672812091951529
name3_e	-1.12918888896493
name3_f	-0.8252606366541889
name3_g	1.0445761882227547
name3_h	-0.24062838818400348
name3_i	-1.2474621465797624
name3_j	-0.022868501331079153
name3_k	0.9463887517996658
name3_l	-0.2338744312404816
name3_m	0.5973595161551449
name3_n	1.6538181787543491
name3_o	-0.9523405752130648
name3_p	0.4673441881775704
name3_q	-0.06564790513741953
name3_r	2.010117245978087
name3_s	1.3239677044584988
name3_t	0.09246399865678565
name3_u	-0.9735396320971829
name3_v	0.15817354671320544
name3_w	0.06239467420382497
name3_x	-0.33920953461319914
name3_y	-1.2772573431931054
name3_z	-0.7341545909375804
