name	trait
name6_a	-1.1048618931886505
name6_b	-0.33701566237253405
name6_c	0.6140602833796565
name6_d	-1.8392213898220255
name6_e	-2.127491501961963
name6_f	0.8370405973115985
name6_g	-0.5102219342957128
name6_h	-3.185996984639579
name6_i	1.9058417362603788
name6_j	0.786332912242468
name6_k	-0.29140266358998446
name6_l	0.6549735779378273
name6_m	1.042344655480385
name6_n	0.8644459351010831
name6_o	0.9229941404289629
name6_p	-0.8766473755979116
name6_q	-0.20392193975812475
name6_r	0.43354199962074436
name6_s	1.7047703854417853
name6_t	-1.5039336874855658
name6_u	-0.9880603914168247
name6_v	-1.5686799602710826
name6_w	-1.2741466533551284
name6_x	0.6814221398592664
name6_y	-0.27298658814581994
name6_z	0.3674868399271702
